crop_file,true_label,pred_label,logits,softmax,goodness
00032412.npy,1,0,"[-0.03991447389125824, -0.08076737821102142]","[0.5102118253707886, 0.4897882044315338]",0.4897882044315338
00037618.npy,1,1,"[0.0033411290496587753, 0.03370635211467743]","[0.49240928888320923, 0.5075907111167908]",0.5075907111167908
00000874.npy,1,1,"[-0.11169750988483429, 0.1378408521413803]","[0.4379371404647827, 0.5620628595352173]",0.5620628595352173
00064334.npy,1,1,"[-0.5142365097999573, 0.4535456895828247]","[0.2753227651119232, 0.7246772050857544]",0.7246772050857544
00010116.npy,0,1,"[-1.158787488937378, -0.07262061536312103]","[0.25234079360961914, 0.7476592063903809]",0.7476592063903809
00066801.npy,1,1,"[-0.09410487115383148, 0.22526414692401886]","[0.42082956433296204, 0.5791704654693604]",0.5791704654693604
00034263.npy,1,1,"[-0.15147611498832703, 0.32255691289901733]","[0.3836621344089508, 0.6163378953933716]",0.6163378953933716
00061247.npy,1,1,"[-0.010120187886059284, 0.3050609230995178]","[0.4218505918979645, 0.5781494379043579]",0.5781494379043579
00017614.npy,0,1,"[-0.37340208888053894, 0.4562578797340393]","[0.3037169873714447, 0.6962829828262329]",0.6962829828262329
00043427.npy,1,1,"[-0.11410234123468399, 0.41792166233062744]","[0.3700449466705322, 0.6299551129341125]",0.6299551129341125
00013329.npy,0,1,"[-0.39831021428108215, 0.1842147409915924]","[0.35835179686546326, 0.6416481733322144]",0.6416481733322144
00062327.npy,1,1,"[-0.30829495191574097, 0.4775875210762024]","[0.3130534887313843, 0.6869465708732605]",0.6869465708732605
00033599.npy,1,1,"[-0.5135548114776611, -0.2370251715183258]","[0.43130478262901306, 0.5686951875686646]",0.5686951875686646
00044092.npy,1,1,"[-0.2443217635154724, -0.1624346822500229]","[0.4795396625995636, 0.5204603672027588]",0.5204603672027588
00043362.npy,1,1,"[-0.34655454754829407, 0.0907515361905098]","[0.39238306879997253, 0.6076169013977051]",0.6076169013977051
00036054.npy,0,1,"[-0.20408958196640015, 0.004247531294822693]","[0.4481033384799957, 0.5518966913223267]",0.5518966913223267
00043670.npy,1,1,"[-0.5455716252326965, -0.28360211849212646]","[0.4348796308040619, 0.5651203393936157]",0.5651203393936157
00061024.npy,0,1,"[-0.6893901824951172, 0.23937736451625824]","[0.2831748127937317, 0.7168251872062683]",0.7168251872062683
00023524.npy,1,1,"[-0.2731473445892334, 0.22087378799915314]","[0.3789467513561249, 0.6210532188415527]",0.6210532188415527
00018889.npy,1,1,"[-0.049905531108379364, -0.006076423451304436]","[0.4890444576740265, 0.5109555125236511]",0.5109555125236511
00042307.npy,1,1,"[-0.45307376980781555, 0.09774596989154816]","[0.36567422747612, 0.6343257427215576]",0.6343257427215576
00009469.npy,1,1,"[-0.5311316251754761, -0.16317614912986755]","[0.40903517603874207, 0.5909648537635803]",0.5909648537635803
00022408.npy,1,1,"[-0.0028768470510840416, 0.04052719473838806]","[0.4891507029533386, 0.5108492970466614]",0.5108492970466614
