crop_file,true_label,pred_label,logits,softmax,goodness
00010707.npy,1,1,"[0.27867114543914795, 1.0517505407333374]","[0.3158133327960968, 0.6841866374015808]",0.6841866374015808
00018101.npy,1,1,"[0.15024027228355408, 1.7594661712646484]","[0.16669613122940063, 0.8333039283752441]",0.8333039283752441
00056078.npy,0,0,"[0.05137035995721817, -0.1571636199951172]","[0.5519453883171082, 0.44805461168289185]",0.44805461168289185
00061405.npy,0,0,"[0.08190706372261047, -0.053839489817619324]","[0.5338846445083618, 0.46611538529396057]",0.46611538529396057
00021964.npy,1,1,"[0.49837884306907654, 0.7301249504089355]","[0.44232138991355896, 0.5576786398887634]",0.5576786398887634
00051500.npy,1,1,"[0.04706377536058426, 0.5596491098403931]","[0.37458768486976624, 0.6254123449325562]",0.6254123449325562
00020117.npy,0,0,"[0.21501506865024567, 0.12347280979156494]","[0.5228695869445801, 0.4771304130554199]",0.4771304130554199
00007040.npy,1,1,"[0.32200056314468384, 1.288306713104248]","[0.275617390871048, 0.7243826389312744]",0.7243826389312744
00057437.npy,0,1,"[0.13641443848609924, 0.33898839354515076]","[0.4495290219783783, 0.5504710078239441]",0.5504710078239441
00030847.npy,1,1,"[-0.27068454027175903, 0.011065483093261719]","[0.43002480268478394, 0.5699751973152161]",0.5699751973152161
00059887.npy,1,1,"[0.11614447832107544, 0.2994014322757721]","[0.4543135464191437, 0.5456864237785339]",0.5456864237785339
00030979.npy,1,1,"[-0.18986442685127258, -0.05038344860076904]","[0.465186208486557, 0.5348138213157654]",0.5348138213157654
00010116.npy,0,0,"[0.6443420648574829, 0.12030056118965149]","[0.628092348575592, 0.37190768122673035]",0.37190768122673035
00037879.npy,1,1,"[-0.08564603328704834, 0.3263572156429291]","[0.3984318971633911, 0.6015681028366089]",0.6015681028366089
00004097.npy,1,1,"[0.4566890597343445, 2.6848678588867188]","[0.09724842011928558, 0.902751624584198]",0.902751624584198
00023937.npy,0,0,"[0.11051174998283386, 0.0497051477432251]","[0.5151969790458679, 0.48480305075645447]",0.48480305075645447
00007552.npy,1,0,"[0.22513791918754578, 0.1701861321926117]","[0.5137344598770142, 0.48626548051834106]",0.48626548051834106
00035349.npy,0,1,"[0.3631666302680969, 0.4487006962299347]","[0.4786294996738434, 0.5213704705238342]",0.5213704705238342
